sleeper_id,projection_url,player_data-date,adp_2qb,adp_dynasty,adp_dynasty_2qb,adp_dynasty_half_ppr,adp_dynasty_ppr,adp_dynasty_std,adp_half_ppr,adp_idp,adp_ppr,adp_rookie,adp_std,bonus_rec_rb,fum_lost,gp,pts_half_ppr,pts_ppr,pts_std,rec,rec_0_4,rec_10_19,rec_20_29,rec_30_39,rec_40p,rec_5_9,rec_fd,rec_td,rec_yd,rush_2pt,rush_att,rush_fd,rush_td,rush_yd,bonus_rec_wr,bonus_rec_te,cmp_pct,pass_2pt,pass_att,pass_cmp,pass_fd,pass_int,pass_td,pass_yd,def_kr_td,player_data-category,player_data-last_modified,player_data-week,player_data-season,player_data-season_type,player_data-sport,player_data-player_id,player_data-game_id,player_data-updated_at,player_data-team,player_data-company,player_data-opponent,player_data-player
4988,https://api.sleeper.com/projections/nfl/player/4988?season_type=regular&season=2024,NA,107.8,999,119.6,92.6,91,92.6,86.7,112,87,999,86.7,14,1,18,136.6,143.6,129.6,14,2.8,4.2,2.8,1.4,1.4,2.8,10.9,1,109,NA,180,78.7,6,787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217643075,NA,2024,regular,nfl,4988,season,1733217643075,CLE,rotowire,NA,
5937,https://api.sleeper.com/projections/nfl/player/5937?season_type=regular&season=2024,NA,103.9,999,119.3,111.1,111.2,111.1,94.7,135.8,95,999,94.7,NA,1,18,180.2,222.7,137.7,85,17,25.5,17,8.5,8.5,17,102.4,6,1024,NA,2,1.3,NA,13,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217645376,NA,2024,regular,nfl,5937,season,1733217645376,BAL,rotowire,NA,
11583,https://api.sleeper.com/projections/nfl/player/11583?season_type=regular&season=2024,NA,98.9,999,66.6,58.5,62.9,58.5,90,78.4,97.1,999,90,23,1,18,109.5,121,98,23,4.6,6.9,4.6,2.3,2.3,4.6,17.6,1,176,NA,122,52.4,4,524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217634643,NA,2024,regular,nfl,11583,season,1733217634643,CAR,rotowire,NA,
11631,https://api.sleeper.com/projections/nfl/player/11631?season_type=regular&season=2024,NA,119.5,999,74.8,71.5,77.3,71.5,104.5,108.2,104.6,999,104.5,NA,1,18,183.2,221.2,145.2,76,15.2,22.8,15.2,7.6,7.6,15.2,103.3,7,1033,NA,2,1.9,NA,19,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217634765,NA,2024,regular,nfl,11631,season,1733217634765,JAX,rotowire,NA,
11560,https://api.sleeper.com/projections/nfl/player/11560?season_type=regular&season=2024,NA,38.6,999,11.7,50.6,51.3,50.6,99.4,28.7,101.4,999,99.4,NA,3,18,278.28,278.28,278.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,29.2,3,292,NA,NA,63.67,1,545,347,385.2,15,24,3852,NA,proj,1733217634585,NA,2024,regular,nfl,11560,season,1733217634585,CHI,rotowire,NA,
4663,https://api.sleeper.com/projections/nfl/player/4663?season_type=regular&season=2024,NA,113.6,999,134.3,110.4,108.8,110.4,95.5,127.8,93.8,999,95.5,38,1,18,118.8,137.8,99.8,38,7.6,11.4,7.6,3.8,3.8,7.6,28.7,2,287,NA,101,43.1,3,431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217642369,NA,2024,regular,nfl,4663,season,1733217642369,WAS,rotowire,NA,
9488,https://api.sleeper.com/projections/nfl/player/9488?season_type=regular&season=2024,NA,115.2,999,75.4,63.7,69.7,63.7,102.2,100.7,100.8,999,102.2,NA,1,18,159.5,198.5,120.5,78,15.6,23.4,15.6,7.8,7.8,15.6,85.3,6,853,NA,2,1.2,NA,12,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217653328,NA,2024,regular,nfl,9488,season,1733217653328,SEA,rotowire,NA,
6845,https://api.sleeper.com/projections/nfl/player/6845?season_type=regular&season=2024,NA,111.3,999,125.3,108.4,109.6,108.4,89,130.3,92.8,999,89,32,1,18,154.9,170.9,138.9,32,6.4,9.6,6.4,3.2,3.2,6.4,23.2,1,232,NA,183,75.7,6,757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217647654,NA,2024,regular,nfl,6845,season,1733217647654,CIN,rotowire,NA,
8228,https://api.sleeper.com/projections/nfl/player/8228?season_type=regular&season=2024,NA,105.5,999,113.6,93.6,94.9,93.6,93.4,121.1,97.7,999,93.4,36,1,18,136.4,154.4,118.4,36,7.2,10.8,7.2,3.6,3.6,7.2,26,2,260,NA,133,58.4,4,584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217651456,NA,2024,regular,nfl,8228,season,1733217651456,PIT,rotowire,NA,
11637,https://api.sleeper.com/projections/nfl/player/11637?season_type=regular&season=2024,NA,111.5,999,80,67.8,71,67.8,97.6,95.7,94.1,999,97.6,NA,1,18,101.3,122.8,79.8,43,8.6,12.9,8.6,4.3,4.3,8.6,57.4,4,574,NA,1,0.4,NA,4,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217634781,NA,2024,regular,nfl,11637,season,1733217634781,BUF,rotowire,NA,
8167,https://api.sleeper.com/projections/nfl/player/8167?season_type=regular&season=2024,NA,117.8,999,111.8,98,101.6,98,100.5,127,103.8,999,100.5,NA,1,18,143.4,171.9,114.9,57,11.4,17.1,11.4,5.7,5.7,11.4,78.2,6,782,NA,5,2.7,NA,27,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217651294,NA,2024,regular,nfl,8167,season,1733217651294,GB,rotowire,NA,
8183,https://api.sleeper.com/projections/nfl/player/8183?season_type=regular&season=2024,NA,29.8,999,31,103.1,97.1,103.1,97.5,49,90.2,999,97.5,NA,3,18,307.16,307.16,307.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,16.8,2,168,NA,NA,67.38,1,512,345,423.4,11,31,4234,NA,proj,1733217651331,NA,2024,regular,nfl,8183,season,1733217651331,SF,rotowire,NA,
5022,https://api.sleeper.com/projections/nfl/player/5022?season_type=regular&season=2024,NA,110.7,999,124.4,119.4,117.8,119.4,107.4,132.1,102.2,999,107.4,NA,1,18,129.2,163.2,95.2,68,13.6,20.4,13.6,6.8,6.8,13.6,73.2,4,732,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217643159,NA,2024,regular,nfl,5022,season,1733217643159,PHI,rotowire,NA,
6130,https://api.sleeper.com/projections/nfl/player/6130?season_type=regular&season=2024,NA,116.6,999,132.2,111.1,111.4,111.1,96.5,141.9,99.5,999,96.5,31,1,18,156.5,172,141,31,6.2,9.3,6.2,3.1,3.1,6.2,21.7,1,217,NA,206,85.3,5,853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217645888,NA,2024,regular,nfl,6130,season,1733217645888,NYG,rotowire,NA,
5844,https://api.sleeper.com/projections/nfl/player/5844?season_type=regular&season=2024,NA,106.2,999,70.1,77.1,71.6,77.1,118.7,85.5,110.2,999,118.7,NA,1,18,112,141.5,82.5,59,11.8,17.7,11.8,5.9,5.9,11.8,60.5,4,605,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217645133,NA,2024,regular,nfl,5844,season,1733217645133,MIN,rotowire,NA,
