sleeper_id,projection_url,player_data-date,adp_2qb,adp_dynasty,adp_dynasty_2qb,adp_dynasty_half_ppr,adp_dynasty_ppr,adp_dynasty_std,adp_half_ppr,adp_idp,adp_ppr,adp_rookie,adp_std,bonus_rec_rb,fum_lost,gp,pts_half_ppr,pts_ppr,pts_std,rec,rec_0_4,rec_10_19,rec_20_29,rec_30_39,rec_40p,rec_5_9,rec_fd,rec_td,rec_yd,rush_2pt,rush_att,rush_fd,rush_td,rush_yd,bonus_rec_wr,bonus_rec_te,cmp_pct,pass_2pt,pass_att,pass_cmp,pass_fd,pass_int,pass_td,pass_yd,def_kr_td,pr_td,player_data-category,player_data-last_modified,player_data-week,player_data-season,player_data-season_type,player_data-sport,player_data-game_id,player_data-player_id,player_data-updated_at,player_data-team,player_data-company,player_data-opponent,player_data-player
11815,https://api.sleeper.com/projections/nfl/player/11815?season_type=regular&season=2024,NA,688.8,999,271.8,250.1,279.3,250.1,603.7,519.9,652.1,999,603.7,NA,NA,18,28.1,33.6,22.6,11,2.2,3.3,2.2,1.1,1.1,2.2,16.6,1,166,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399464300,NA,2024,regular,nfl,season,11815,1724399464300,LAC,rotowire,NA,
11748,https://api.sleeper.com/projections/nfl/player/11748?season_type=regular&season=2024,NA,679.6,999,287.7,303.3,288,303.3,628.4,559.2,651.8,999,628.4,NA,NA,18,26.5,32.5,20.5,12,2.4,3.6,2.4,1.2,1.2,2.4,14.5,1,145,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399464170,NA,2024,regular,nfl,season,11748,1724399464170,NO,rotowire,NA,
11580,https://api.sleeper.com/projections/nfl/player/11580?season_type=regular&season=2024,NA,688.8,999,291.7,348.2,330.3,348.2,999,635.9,599.7,999,999,3,NA,18,20.4,21.9,18.9,3,0.6,0.9,0.6,0.3,0.3,0.6,2.2,NA,22,NA,26,10.7,1,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399463848,NA,2024,regular,nfl,season,11580,1724399463848,NA,rotowire,NA,
11783,https://api.sleeper.com/projections/nfl/player/11783?season_type=regular&season=2024,NA,345,999,283.8,301.3,276.4,301.3,999,535.8,689.6,999,999,NA,NA,18,24.1,29.6,18.6,11,2.2,3.3,2.2,1.1,1.1,2.2,12.6,1,126,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399464238,NA,2024,regular,nfl,season,11783,1724399464238,DAL,rotowire,NA,
11568,https://api.sleeper.com/projections/nfl/player/11568?season_type=regular&season=2024,NA,662,999,294.4,319.5,295.6,319.5,999,612,685.7,999,999,4,NA,18,21.7,23.7,19.7,4,0.8,1.2,0.8,0.4,0.4,0.8,2.9,NA,29,NA,26,10.8,1,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399463826,NA,2024,regular,nfl,season,11568,1724399463826,DEN,rotowire,NA,
8160,https://api.sleeper.com/projections/nfl/player/8160?season_type=regular&season=2024,NA,316.6,999,289,667.3,657.7,667.3,999,534.4,507.8,999,999,NA,1,18,11.4,11.4,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.4,NA,14,NA,NA,63.64,NA,33,21,22.5,1,1,225,NA,NA,proj,1724399474248,NA,2024,regular,nfl,season,8160,1724399474248,PHI,rotowire,NA,
10219,https://api.sleeper.com/projections/nfl/player/10219?season_type=regular&season=2024,NA,311.1,999,293.1,299.2,305.7,299.2,642.9,543.3,695.8,999,642.9,7,NA,18,44.1,47.6,40.6,7,1.4,2.1,1.4,0.7,0.7,1.4,5.1,NA,51,NA,57,23.5,2,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399462396,NA,2024,regular,nfl,season,10219,1724399462396,WAS,rotowire,NA,
7538,https://api.sleeper.com/projections/nfl/player/7538?season_type=regular&season=2024,NA,653.9,999,298.1,614,679.3,614,492.4,630.6,622.4,999,492.4,NA,NA,18,12.7,12.7,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.7,NA,17,NA,NA,62.07,NA,29,18,20,1,1,200,NA,NA,proj,1724399473175,NA,2024,regular,nfl,season,7538,1724399473175,DEN,rotowire,NA,
10213,https://api.sleeper.com/projections/nfl/player/10213?season_type=regular&season=2024,NA,258.8,999,287.7,300.1,335,300.1,283.4,507.4,291,999,283.4,NA,NA,18,78.6,96.6,60.6,36,7.2,10.8,7.2,3.6,3.6,7.2,38.4,3,384,NA,7,4.2,NA,42,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399462385,NA,2024,regular,nfl,season,10213,1724399462385,LV,rotowire,NA,
8168,https://api.sleeper.com/projections/nfl/player/8168?season_type=regular&season=2024,NA,359.4,999,306.7,319.5,350.6,319.5,594.5,684.2,630.9,999,594.5,NA,NA,18,25.8,31.8,19.8,12,2.4,3.6,2.4,1.2,1.2,2.4,12.9,1,129,NA,2,0.9,NA,9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399474259,NA,2024,regular,nfl,season,8168,1724399474259,KC,rotowire,NA,
8159,https://api.sleeper.com/projections/nfl/player/8159?season_type=regular&season=2024,NA,343.8,999,299.6,567.8,654,567.8,378,618.7,567.2,999,378,NA,1,18,10.54,10.54,10.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.1,NA,11,NA,NA,61.29,NA,31,19,21.1,1,1,211,NA,NA,proj,1724399474247,NA,2024,regular,nfl,season,8159,1724399474247,ARI,rotowire,NA,
3199,https://api.sleeper.com/projections/nfl/player/3199?season_type=regular&season=2024,NA,317.4,999,305.4,327.3,311.5,327.3,614.9,614.6,305.8,999,614.9,NA,NA,18,47.7,59.2,36.2,23,4.6,6.9,4.6,2.3,2.3,4.6,24,2,240,NA,1,0.2,NA,2,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399466781,NA,2024,regular,nfl,season,3199,1724399466781,NA,rotowire,NA,
7527,https://api.sleeper.com/projections/nfl/player/7527?season_type=regular&season=2024,NA,346.5,999,300.3,556,688.4,556,668,602.1,532.8,999,668,NA,NA,18,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,20,NA,NA,63.33,NA,30,19,20,1,1,200,NA,NA,proj,1724399473152,NA,2024,regular,nfl,season,7527,1724399473152,JAX,rotowire,NA,
4089,https://api.sleeper.com/projections/nfl/player/4089?season_type=regular&season=2024,NA,276.9,999,308.8,364.6,351.4,364.6,610.8,546.1,303.1,999,610.8,NA,NA,18,49.9,62.4,37.4,25,5,7.5,5,2.5,2.5,5,25.4,2,254,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399467617,NA,2024,regular,nfl,season,4089,1724399467617,CHI,rotowire,NA,
5086,https://api.sleeper.com/projections/nfl/player/5086?season_type=regular&season=2024,NA,277.3,999,334.1,345.6,653.6,345.6,629.2,633.1,548.9,999,629.2,NA,NA,18,42.4,49.9,34.9,15,3,4.5,3,1.5,1.5,3,22.6,2,226,NA,1,0.3,NA,3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399469127,NA,2024,regular,nfl,season,5086,1724399469127,BUF,rotowire,NA,
6136,https://api.sleeper.com/projections/nfl/player/6136?season_type=regular&season=2024,NA,271.7,999,319.5,551.7,692,551.7,660.1,524.1,675.9,999,660.1,NA,1,18,29.14,29.14,29.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.9,1,19,NA,NA,62.12,NA,66,41,43.1,2,2,431,NA,NA,proj,1724399470862,NA,2024,regular,nfl,season,6136,1724399470862,DEN,rotowire,NA,
3271,https://api.sleeper.com/projections/nfl/player/3271?season_type=regular&season=2024,NA,281.9,999,309.5,369.5,375.6,369.5,668.5,603.9,296.4,999,668.5,NA,NA,18,47.6,59.1,36.1,23,4.6,6.9,4.6,2.3,2.3,4.6,24.1,2,241,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399466885,NA,2024,regular,nfl,season,3271,1724399466885,LAR,rotowire,NA,
5038,https://api.sleeper.com/projections/nfl/player/5038?season_type=regular&season=2024,NA,319,999,338.1,366.6,354.6,366.6,999,651.7,305.7,999,999,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399469046,NA,2024,regular,nfl,season,5038,1724399469046,NA,rotowire,NA,
6074,https://api.sleeper.com/projections/nfl/player/6074?season_type=regular&season=2024,NA,307.9,999,386.4,665.7,655.3,665.7,999,641,562.9,999,999,NA,NA,18,35.5,43,28,15,3,4.5,3,1.5,1.5,3,16,2,160,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399470760,NA,2024,regular,nfl,season,6074,1724399470760,LAC,rotowire,NA,
4147,https://api.sleeper.com/projections/nfl/player/4147?season_type=regular&season=2024,NA,267,999,323.7,306.5,339.7,306.5,290.2,535.2,295.8,999,290.2,26,NA,18,59.1,72.1,46.1,26,5.2,7.8,5.2,2.6,2.6,5.2,18.5,1,185,NA,38,15.6,1,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399467715,NA,2024,regular,nfl,season,4147,1724399467715,DEN,rotowire,NA,
4149,https://api.sleeper.com/projections/nfl/player/4149?season_type=regular&season=2024,NA,278.7,999,297.8,255.4,260.5,255.4,258.7,485.8,294.4,999,258.7,12,NA,18,73.4,79.4,67.4,12,2.4,3.6,2.4,1.2,1.2,2.4,8.4,NA,84,NA,101,41,3,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399467719,NA,2024,regular,nfl,season,4149,1724399467719,NO,rotowire,NA,
4234,https://api.sleeper.com/projections/nfl/player/4234?season_type=regular&season=2024,NA,321,999,345.1,353.8,353.5,353.8,631.8,667.4,300.1,999,631.8,NA,NA,18,46.2,55.2,37.2,18,3.6,5.4,3.6,1.8,1.8,3.6,24.9,2,249,NA,1,0.3,NA,3,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399467853,NA,2024,regular,nfl,season,4234,1724399467853,HOU,rotowire,NA,
827,https://api.sleeper.com/projections/nfl/player/827?season_type=regular&season=2024,NA,301.8,999,319.5,627.5,663.4,627.5,999,641.8,663.9,999,999,NA,NA,18,13.1,13.1,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2.1,NA,21,NA,NA,65.52,NA,29,19,20,1,1,200,NA,NA,proj,1724399474430,NA,2024,regular,nfl,season,827,1724399474430,NYJ,rotowire,NA,
7049,https://api.sleeper.com/projections/nfl/player/7049?season_type=regular&season=2024,NA,294,999,315.5,331.4,567.9,331.4,588.4,587.9,518.7,999,588.4,NA,NA,18,82.7,101.2,64.2,37,7.4,11.1,7.4,3.7,3.7,7.4,45.2,3,452,NA,1,1,NA,10,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399472342,NA,2024,regular,nfl,season,7049,1724399472342,SF,rotowire,NA,
3634,https://api.sleeper.com/projections/nfl/player/3634?season_type=regular&season=2024,NA,300.8,999,420.5,525.4,693.9,525.4,651.3,999,683.1,999,651.3,NA,NA,18,60.3,72.8,47.8,25,5,7.5,5,2.5,2.5,5,31.4,2,314,NA,7,4.4,NA,44,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399467272,NA,2024,regular,nfl,season,3634,1724399467272,DET,rotowire,NA,
7828,https://api.sleeper.com/projections/nfl/player/7828?season_type=regular&season=2024,NA,303.6,999,330,350.4,362.4,350.4,596.7,610.8,689.6,999,596.7,NA,NA,18,49.6,61.6,37.6,24,4.8,7.2,4.8,2.4,2.4,4.8,25.6,2,256,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399473675,NA,2024,regular,nfl,season,7828,1724399473675,KC,rotowire,NA,
8204,https://api.sleeper.com/projections/nfl/player/8204?season_type=regular&season=2024,NA,303.9,999,317.9,315.8,333.4,315.8,655.5,554.1,670.6,999,655.5,NA,NA,18,66,79,53,26,5.2,7.8,5.2,2.6,2.6,5.2,34.1,3,341,NA,1,0.9,NA,9,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399474320,NA,2024,regular,nfl,season,8204,1724399474320,GB,rotowire,NA,
4029,https://api.sleeper.com/projections/nfl/player/4029?season_type=regular&season=2024,NA,350.5,999,341.8,254.8,247.8,254.8,617.1,633,699.7,999,617.1,9,NA,18,51.1,55.6,46.6,9,1.8,2.7,1.8,0.9,0.9,1.8,6.8,NA,68,NA,66,27.8,2,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1724399467517,NA,2024,regular,nfl,season,4029,1724399467517,NA,rotowire,NA,
