sleeper_id,projection_url,player_data-date,adp_2qb,adp_dynasty,adp_dynasty_2qb,adp_dynasty_half_ppr,adp_dynasty_ppr,adp_dynasty_std,adp_half_ppr,adp_idp,adp_ppr,adp_rookie,adp_std,bonus_rec_rb,fum_lost,gp,pts_half_ppr,pts_ppr,pts_std,rec,rec_0_4,rec_10_19,rec_20_29,rec_30_39,rec_40p,rec_5_9,rec_fd,rec_td,rec_yd,rush_2pt,rush_att,rush_fd,rush_td,rush_yd,bonus_rec_wr,bonus_rec_te,cmp_pct,pass_2pt,pass_att,pass_cmp,pass_fd,pass_int,pass_td,pass_yd,def_kr_td,pr_td,player_data-category,player_data-last_modified,player_data-week,player_data-sport,player_data-season_type,player_data-season,player_data-game_id,player_data-updated_at,player_data-player_id,player_data-team,player_data-company,player_data-opponent,player_data-player
9220,https://api.sleeper.com/projections/nfl/player/9220?season_type=regular&season=2024,NA,271.1,999,260.3,257.2,298.8,257.2,277.6,521.1,308.3,999,277.6,13,NA,18,45.9,52.4,39.4,13,2.6,3.9,2.6,1.3,1.3,2.6,9.6,1,96,NA,42,17.8,1,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449059871,NA,nfl,regular,2024,season,1723449059871,9220,IND,rotowire,NA,
11615,https://api.sleeper.com/projections/nfl/player/11615?season_type=regular&season=2024,NA,353.7,999,265,260.5,295.5,260.5,518.5,484,539.2,999,518.5,NA,NA,18,26.2,31.7,20.7,11,2.2,3.3,2.2,1.1,1.1,2.2,14.1,1,141,NA,1,0.6,NA,6,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449048500,NA,nfl,regular,2024,season,1723449048500,11615,PHI,rotowire,NA,
6886,https://api.sleeper.com/projections/nfl/player/6886?season_type=regular&season=2024,NA,255.4,999,260.1,245.2,278.3,245.2,266,413.3,667.9,999,266,NA,NA,18,26.3,31.8,20.8,11,2.2,3.3,2.2,1.1,1.1,2.2,14.3,1,143,NA,1,0.5,NA,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449056385,NA,nfl,regular,2024,season,1723449056385,6886,BUF,rotowire,NA,
11633,https://api.sleeper.com/projections/nfl/player/11633?season_type=regular&season=2024,NA,687.8,999,271.9,269.5,314.1,269.5,508.5,485.3,607.8,999,508.5,NA,NA,18,26.2,31.7,20.7,11,2.2,3.3,2.2,1.1,1.1,2.2,14.1,1,141,NA,1,0.6,NA,6,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449048525,NA,nfl,regular,2024,season,1723449048525,11633,CLE,rotowire,NA,
11646,https://api.sleeper.com/projections/nfl/player/11646?season_type=regular&season=2024,NA,675.3,999,274.4,304.7,288,304.7,582,563.9,659.8,999,582,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449048543,NA,nfl,regular,2024,season,1723449048543,11646,CAR,rotowire,NA,
9227,https://api.sleeper.com/projections/nfl/player/9227?season_type=regular&season=2024,NA,358.9,999,277.5,268.5,310.6,268.5,599.6,571.9,312,999,599.6,5,NA,18,27.4,29.9,24.9,5,1,1.5,1,0.5,0.5,1,4.1,NA,41,NA,35,14.8,1,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449059883,NA,nfl,regular,2024,season,1723449059883,9227,NYJ,rotowire,NA,
11557,https://api.sleeper.com/projections/nfl/player/11557?season_type=regular&season=2024,NA,665.9,999,272.7,364,344.7,364,646,476.9,653.5,999,646,NA,1,18,10.3,10.3,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.7,NA,17,NA,NA,56.67,NA,30,17,19,1,1,190,NA,NA,proj,1723449048397,NA,nfl,regular,2024,season,1723449048397,11557,NE,rotowire,NA,
10226,https://api.sleeper.com/projections/nfl/player/10226?season_type=regular&season=2024,NA,306,999,268.9,251.9,301.4,251.9,500.2,537.8,599.5,999,500.2,NA,NA,18,80.2,97.7,62.7,35,7,10.5,7,3.5,3.5,7,43.7,3,437,NA,1,1,NA,10,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449047083,NA,nfl,regular,2024,season,1723449047083,10226,CIN,rotowire,NA,
8142,https://api.sleeper.com/projections/nfl/player/8142?season_type=regular&season=2024,NA,319,999,275.3,255.8,293.7,255.8,529.3,589.1,529.4,999,529.3,NA,NA,18,63.2,75.7,50.7,25,5,7.5,5,2.5,2.5,5,38.2,2,382,NA,1,0.5,NA,5,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449058468,NA,nfl,regular,2024,season,1723449058468,8142,IND,rotowire,NA,
10444,https://api.sleeper.com/projections/nfl/player/10444?season_type=regular&season=2024,NA,302.6,999,273,271.1,313.7,271.1,534.5,541.1,650.3,999,534.5,NA,NA,18,52.9,63.9,41.9,22,4.4,6.6,4.4,2.2,2.2,4.4,29.4,2,294,NA,1,0.5,NA,5,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449047123,NA,nfl,regular,2024,season,1723449047123,10444,CLE,rotowire,NA,
